,magnitude,depth
0,2.47,7.77
1,3.23,10.0
2,2.51,32.81
3,2.66,14.0
4,5.4,10.0
5,4.8,10.0
6,2.7,52.2
7,2.6,10.0
8,2.85,15.0
9,5.6,10.0
10,2.7,5.0
11,3.4,11.7
12,3.08,12.0
13,2.55,9.0
14,2.62,5.0
15,5.2,10.0
16,3.37,59.0
17,2.46,34.1
18,4.8,35.28
19,4.6,10.0
20,2.53,11.0
21,2.53,12.0
22,2.54,8.0
23,2.5,11.6
24,2.72,12.0
25,4.4,10.0
26,5.5,115.34
27,2.6,10.0
28,2.59,14.0
29,3.07,14.0
30,4.7,10.0
31,2.45,33.07
32,4.5,149.12
33,4.9,10.0
34,3.2,12.1
35,3.2,0.0
36,3.1,12.32
37,2.77,10.0
38,2.86,17.35
39,2.8,21.87
40,2.62,6.0
41,4.8,10.0
42,4.4,33.7
43,4.1,12.47
44,4.9,54.42
45,3.0,6.8
46,4.6,536.5
47,2.87,9.0
48,2.5,70.3
49,2.77,15.0
50,5.1,35.0
51,2.82,9.0
52,4.2,113.47
53,4.1,10.0
54,2.55,17.0
55,2.76,14.0
56,2.67,5.0
57,4.9,10.0
58,4.2,10.0
59,3.1,7.0
60,4.9,10.0
61,2.62,6.0
62,2.54,9.0
63,2.61,9.0
64,2.95,14.0
65,4.0,10.0
66,2.88,11.0
67,4.5,158.93
68,2.99,5.0
69,2.95,3.44
70,3.02,12.0
71,5.0,10.0
72,2.66,25.3
73,2.51,6.53
74,2.5,94.8
75,4.3,56.73
76,2.78,13.0
77,4.0,205.92
78,2.77,15.0
79,2.9,10.0
80,3.19,6.0
81,2.79,15.0
82,2.67,10.0
83,3.3,6.0
84,3.04,14.0
85,2.69,12.0
86,3.25,51.0
87,2.5,10.0
88,2.84,11.0
89,4.8,10.0
90,3.09,9.0
91,3.18,9.0
92,4.8,10.0
93,2.45,9.54
94,3.0,5.0
95,2.46,7.21
96,2.81,6.0
97,2.67,17.0
98,2.7,0.17
99,4.7,10.0
100,3.61,6.34
101,2.58,6.22
102,4.9,33.72
103,3.09,8.0
104,5.0,10.0
105,2.49,10.0
106,3.99,10.93
107,5.0,35.42
108,2.67,8.84
109,3.41,11.0
110,2.6,14.1
111,2.68,7.0
112,5.0,10.0
113,2.81,5.0
114,4.2,10.0
115,2.68,33.37
116,3.1,9.0
117,3.16,9.0
118,4.9,10.0
119,2.84,9.0
120,4.6,46.17
121,4.8,48.52
122,4.7,35.49
123,5.1,35.0
124,3.37,53.0
125,2.85,15.0
126,3.2,7.0
127,4.6,39.55
128,4.6,68.51
129,4.9,45.65
130,2.94,8.0
131,3.25,13.0
132,2.62,13.0
133,4.0,158.0
134,2.95,10.0
135,3.2,16.96
136,3.32,6.0
137,3.02,10.0
138,3.02,8.0
139,2.98,31.42
140,2.99,-0.39
141,3.02,13.0
142,5.0,10.0
143,2.51,31.99
144,3.24,3.87
145,2.83,12.0
146,4.7,72.0
147,3.15,6.0
148,3.0,10.0
149,4.5,10.0
150,3.1,14.29
151,2.75,10.83
152,3.5,8.0
153,2.79,11.0
154,5.1,87.4
155,2.5,5.0
156,2.47,9.34
157,3.16,5.0
158,2.82,12.0
159,4.1,185.08
160,2.61,12.0
161,2.59,12.0
162,4.1,17.34
163,2.62,14.0
164,2.49,14.0
165,2.61,10.0
166,2.57,12.0
167,2.45,12.0
168,4.5,533.04
169,2.79,12.0
170,2.93,6.33
171,2.78,10.0
172,4.2,88.99
173,4.3,5.0
174,3.4,0.0
175,2.63,5.0
176,4.2,10.0
177,2.47,10.0
178,3.5,8.9
179,2.9,5.0
180,2.6,5.0
181,2.69,14.0
182,4.0,73.07
183,2.67,5.0
184,4.8,10.0
185,3.0,5.0
186,2.47,11.0
187,2.9,34.0
188,2.87,2.0
189,2.48,9.0
190,3.8,10.0
191,2.85,11.0
192,4.8,10.0
193,5.7,23.22
194,2.64,13.0
195,3.14,13.0
196,3.62,91.0
197,4.5,361.78
198,2.7,9.0
199,2.49,8.0
200,5.3,6.95
201,4.8,147.97
202,3.1,171.5
203,4.9,537.31
204,2.47,12.0
205,2.94,13.0
206,4.6,503.92
207,2.63,10.0
208,2.57,11.0
209,4.5,94.89
210,2.61,8.69
211,2.51,10.0
212,2.61,14.0
213,4.9,26.22
214,2.57,10.0
215,2.46,6.0
216,2.45,10.0
217,2.59,11.0
218,2.73,10.0
219,2.8,20.68
220,2.55,12.0
221,2.93,0.72
222,2.84,17.0
223,2.62,18.0
224,4.2,200.96
225,2.88,5.0
226,4.7,149.32
227,2.65,8.0
228,2.61,32.98
229,2.5,10.0
230,4.6,129.32
231,2.61,11.0
232,2.9,0.0
233,4.7,35.06
234,2.5,12.0
235,2.81,11.0
236,2.92,13.0
237,2.59,6.0
238,2.84,5.0
239,4.4,45.56
240,3.01,3.0
241,2.58,12.0
242,2.49,12.0
243,2.84,14.0
244,2.71,13.0
245,4.2,46.03
246,2.84,5.0
247,3.5,13.79
248,2.9,0.0
249,2.51,6.0
250,2.7,107.2
251,3.53,7.0
252,2.58,2.0
253,2.57,4.0
254,4.0,399.19
255,2.95,11.0
256,4.3,108.01
257,3.4,42.35
258,2.5,9.0
259,2.6,10.0
260,4.8,76.72
261,3.9,14.72
262,3.1,4.59
263,4.4,10.0
264,2.89,64.0
265,4.6,35.0
266,2.98,62.0
267,2.49,6.0
268,2.7,10.0
269,5.3,141.63
270,2.67,10.0
271,2.61,12.0
272,4.7,10.0
273,3.5,56.6
274,4.0,122.47
275,2.74,9.0
276,5.1,10.0
277,2.71,12.0
278,4.0,10.0
279,2.45,12.0
280,2.49,14.0
281,2.55,17.0
282,2.89,10.0
283,2.95,7.0
284,2.67,10.0
285,4.8,10.0
286,2.74,3.0
287,2.9,35.0
288,4.6,99.95
289,4.5,102.38
290,5.3,10.0
291,2.65,7.0
292,4.3,117.33
293,4.7,148.37
294,2.45,8.23
295,4.5,10.0
296,3.0,21.9
297,3.0,15.0
298,4.1,10.0
299,4.4,10.0
300,4.1,460.37
301,3.1,33.9
302,2.53,18.33
303,2.59,7.0
304,5.1,10.0
305,4.1,16.0
306,3.8,11.0
307,2.7,16.0
308,2.59,9.0
309,2.62,4.0
310,4.1,10.0
311,5.1,103.61
312,4.6,10.0
313,4.5,108.08
314,2.92,13.0
315,4.3,261.89
316,2.46,13.0
317,2.63,2.33
318,4.2,10.0
319,3.7,-1.3
320,4.6,59.41
321,2.68,10.0
322,2.7,12.19
323,4.5,10.0
324,2.5,19.3
325,3.05,4.0
326,2.53,7.31
327,2.79,12.0
328,5.8,10.0
329,3.6,15.25
330,4.0,54.48
331,2.65,3.0
332,2.65,11.0
333,2.68,8.0
334,2.82,3.0
335,4.3,148.92
336,4.5,57.34
337,3.1,2.0
338,2.74,13.0
339,4.8,10.0
340,2.7,12.0
341,4.2,161.54
342,2.49,12.0
343,2.7,20.0
344,2.55,13.0
345,3.0,2.8
346,2.7,2.0
347,2.5,8.0
348,2.8,14.0
349,2.89,14.0
350,2.48,6.0
351,2.74,11.0
352,2.5,49.4
353,2.8,10.0
354,2.63,11.0
355,2.5,11.0
356,3.09,9.0
357,3.3,10.0
358,3.4,67.5
359,2.63,11.0
360,4.6,10.0
361,3.68,2.73
362,5.4,10.0
363,2.68,12.0
364,2.79,12.0
365,2.46,32.16
366,2.47,8.0
367,2.46,8.0
368,5.0,51.55
369,2.48,4.0
370,5.5,122.0
371,2.52,9.74
372,2.57,15.0
